name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new york,2022-07-01,33.3,22.3,27.1,35.5,22.3,28.3,19.4,64.4,0,0,0,,0,0,51.5,23.4,245,1017,12.5,15.6,298.1,25.8,9,75,2022-07-01T05:28:43,2022-07-01T20:31:04,0.09,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,2022-07-02,31.1,24.3,27.3,33.3,24.3,28.4,20.4,66.9,0.938,100,4.17,rain,0,0,77.8,16.2,254.7,1012.9,36.3,16,199.7,17.1,8,75,2022-07-02T05:29:13,2022-07-02T20:30:55,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,2022-07-03,31,24.3,26.8,30.1,24.3,26.7,15.7,52.4,0,0,0,rain,0,0,29.5,21.5,46.3,1015.9,36.5,16,277.4,23.9,10,10,2022-07-03T05:29:45,2022-07-03T20:30:44,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,2022-07-04,29.4,19.9,25,28.6,19.9,24.7,11.1,42.2,0.469,100,4.17,rain,0,0,51.7,14,282.4,1020.3,0.8,15.7,328.2,28.2,10,10,2022-07-04T05:30:18,2022-07-04T20:30:31,0.19,Rain,Clear conditions throughout the day with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,2022-07-05,30,21.8,24.6,30,21.8,24.7,16.5,61.6,0.83,100,20.83,rain,0,0,72,20.7,222.7,1016.3,30.8,15.7,202.8,17.4,9,10,2022-07-05T05:30:53,2022-07-05T20:30:16,0.22,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york,2022-07-06,31,23.3,26.6,31.4,23.3,27,19,65.1,0,0,0,,0,0,35.6,22.3,284.1,1010.7,56.4,15.9,240.3,20.7,8,10,2022-07-06T05:31:29,2022-07-06T20:29:59,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,2022-07-07,27.8,21.7,24.6,28.3,21.7,24.7,17.2,64,0.46,100,8.33,rain,0,0,62.5,20,79.6,1015.6,52.5,15.9,219.3,19,8,10,2022-07-07T05:32:07,2022-07-07T20:29:40,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,2022-07-08,28.8,20.6,23.1,30,20.6,23.3,19.1,79.1,2.506,100,12.5,rain,0,0,77.8,19.4,248.6,1015.9,36.9,15.7,193,16.5,9,10,2022-07-08T05:32:45,2022-07-08T20:29:19,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,2022-07-09,29.3,22.8,25.1,29.1,22.8,25.2,16.8,61.5,0.469,100,4.17,rain,0,0,72,21.6,22.3,1016.6,24.7,15.9,323.2,28,10,10,2022-07-09T05:33:25,2022-07-09T20:28:56,0.36,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,2022-07-10,28.3,20.5,23.6,28.2,20.5,23.6,14.1,56.2,0,0,0,,0,0,59,20.3,89.7,1018,14,16,335.8,28.8,10,10,2022-07-10T05:34:06,2022-07-10T20:28:31,0.39,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,2022-07-11,27.9,19.4,23.4,28.1,19.4,23.4,15.6,63.5,0,0,0,,0,0,57.2,20.2,214,1014.4,2.8,15.8,323.3,27.9,10,10,2022-07-11T05:34:49,2022-07-11T20:28:04,0.43,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,2022-07-12,31.7,21.2,26,34.3,21.2,27.1,19,66.8,0,0,0,,0,0,73.8,23.3,236.8,1008.5,23.4,16,245.6,21.3,9,60,2022-07-12T05:35:32,2022-07-12T20:27:35,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,2022-07-13,32.8,24,27.8,32.8,24,27.9,17.7,56.4,0.154,100,4.17,rain,0,0,79.6,18,259.7,1011.1,7.2,15.9,278.5,24,10,60,2022-07-13T05:36:16,2022-07-13T20:27:04,0.5,Rain,Clear conditions throughout the day with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,2022-07-14,32.1,22.8,27.2,31.9,22.8,27.4,17.9,59,0.23,100,4.17,rain,0,0,60.8,16.1,36.2,1014.4,33.9,16,294.1,25.3,10,60,2022-07-14T05:37:02,2022-07-14T20:26:31,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,2022-07-15,28.9,23.4,25.8,29,23.4,25.9,16.4,56.9,0,0,0,,0,0,72,17.8,99.2,1020.2,52.4,16,294,25.3,10,10,2022-07-15T05:37:48,2022-07-15T20:25:56,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,2022-07-16,28.8,22.8,24.8,30.5,22.8,25,20.2,76.5,1.711,100,12.5,rain,0,0,52.9,16.1,104.9,1019.2,53.5,15.8,248.8,21.3,10,60,2022-07-16T05:38:35,2022-07-16T20:25:19,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
